Feature,MI_Score
F1066,0.0029525002902798247
F3276,0.002950554969953334
F2077,0.0029449157415007976
F1714,0.002942779925790062
F2438,0.0029417148663094528
F425,0.0029404765678895384
F3002,0.0029362265053600733
F2999,0.002936021878080952
F406,0.0029312933854724887
F3783,0.002927421735988034
F2348,0.002925916250896554
F1432,0.002923359833099881
F116,0.0029232307962892
F2345,0.002923088374539806
F991,0.0029221591408953307
F1701,0.0029219334817143228
F3645,0.0029216074914908408
F3173,0.0029173798870129053
F3400,0.0029163555044683376
F2651,0.0029144505429578027
F63,0.002909757970603999
F3487,0.0029088411308177964
F3330,0.002906580526769953
F2292,0.002904409352983528
F3254,0.0029024726311628335
F3462,0.002898467592206244
F1099,0.0028978424986469964
F210,0.002897036615450488
F2685,0.0028876014343909295
F3262,0.002882740272105222
F947,0.0028765231291969506
F1169,0.00287254062797182
F3189,0.0028708078609175347
F1391,0.00286705373100693
F223,0.0028651602907338036
F2442,0.002857607634168313
F1708,0.002854353167954793
F3709,0.002845734793210042
F453,0.0028421025368917663
F3406,0.0028411986122619526
F3558,0.0028392406199083675
F1543,0.002838780664529139
F3493,0.002834939392278968
F1530,0.00283397499126381
F3419,0.002830572059450698
F144,0.002830203504307849
F193,0.0028191440760964026
F3644,0.0028188624582355937
F1319,0.002814865639670927
F3430,0.002810011844157745
F1867,0.002809361304836333
F2852,0.002807342870799645
F3063,0.0028059502547090887
F2645,0.0028057407943974377
F3311,0.002802615827606214
F2076,0.002801564005173507
F2185,0.0027975873253702765
F3440,0.002792493211732916
F1750,0.0027916898719120287
F3065,0.0027834403335734725
F3467,0.0027814515290438546
F1710,0.002781041499550607
F3212,0.0027807298118427415
F2354,0.00277974001973047
F2192,0.002776059076679993
F2346,0.00277245998109521
F1315,0.002768809433601249
F3215,0.0027686041741691314
F1060,0.0027676423706450848
F2355,0.002765359754459573
F1477,0.0027649638154401135
F3896,0.002758197593666911
F3804,0.002757948186360659
F1272,0.002753052825482216
F2293,0.002752473237675579
F571,0.0027522966097079937
F3698,0.002749516270431629
F2889,0.002748297445360648
F1640,0.0027468339419882692
F3323,0.00274620813916715
F3387,0.00274157598165925
F844,0.002739686052626422
F3443,0.0027372795927581572
F958,0.002736494810243517
F3225,0.002724789740776945
F3055,0.0027247525973264075
F3070,0.0027222045177874854
F3271,0.002721291551092242
F3601,0.0027194657845238668
F1726,0.002718272538507538
F3337,0.0027174154543320173
F1812,0.0027173485310113543
F3216,0.002715341398476845
F3156,0.0027109160385216935
F2637,0.0027082263277289353
F1054,0.002703724974007393
F2480,0.0027014531639713013
F3564,0.002699040866620761
F3669,0.002699032014689906
F1003,0.002698381821086948
F228,0.0026963250412164186
F1201,0.0026926411603861444
F231,0.002692238763749577
F3357,0.00268483958056287
F261,0.0026842562255423585
F3873,0.002683696582431394
F1466,0.0026835461080491063
F3899,0.0026811535259956276
F3241,0.002680287250825364
F3221,0.002679883076951328
F954,0.002678325664944081
F1380,0.0026713132021668473
F250,0.002669114973931186
F2389,0.0026686890653374595
F3461,0.0026677559377563664
F1294,0.0026649610083094855
F3514,0.0026617409460014674
F2449,0.002660749481610214
F1430,0.002658988507529214
F3195,0.002658400226904112
F1862,0.0026525143129192408
F1317,0.0026519270507153747
F3876,0.0026516731744218314
F113,0.0026486247821281284
F3203,0.0026442065708154328
F2114,0.00263764726905491
F730,0.0026373141165837444
F2841,0.002629167369333385
F3289,0.0026278979013537596
F3071,0.002626171270470823
F2940,0.0026247843782868374
F1259,0.00262355429967176
F1746,0.002623324105403335
F2959,0.002621346836936822
F1538,0.002618669470968449
F1964,0.0026164214550922216
F2448,0.0026149958048933275
F3355,0.0026140593356404063
F369,0.0026114398002963224
F572,0.0026091846035547483
F2643,0.0026090321517010517
F3068,0.002607666576031953
F1897,0.0026024800841540907
F1046,0.0025978202672571893
F1635,0.0025967760344883795
F3046,0.002588749837490134
F1384,0.002587827426296374
F3447,0.002587649885513299
F3275,0.0025817840418429494
F3749,0.0025797319006225505
F3226,0.002573516580637314
F163,0.0025708505173313023
F3187,0.0025706101077337395
F1062,0.0025704617643954597
F1716,0.0025688945359620963
F3056,0.0025662827717501946
F2525,0.002564857257394082
F1864,0.0025525996032541576
F2955,0.002552034613864551
F3438,0.0025496349478012492
F3426,0.0025464585494846537
F977,0.002545106305381295
F1802,0.0025442676214453286
F3662,0.0025375083239570495
F2966,0.0025367659474230253
F3313,0.002534564929147276
F1859,0.002534064688772819
F1963,0.0025329526544947134
F3101,0.0025231111135389783
F470,0.002518328080361565
F2847,0.0025151502653296687
F3263,0.002513233819645855
F1924,0.002512389215456712
F3306,0.0025112052907961813
F435,0.0025094823047111525
F3390,0.002508023802730519
F3150,0.0024986225131011786
F2072,0.0024952279476698758
F988,0.0024941040000254766
F3502,0.0024931393157919812
F3316,0.002491597267614054
F3237,0.002491275756939193
F3481,0.002490542972032439
